sentence,NotClitic2,LBE,NotSV,NounScram
Критик будет смотреть французский фильм.,0,0,0,0
Критик будет смотреть фильм французский.,0,0,0,1
Критик будет французский смотреть фильм.,0,1,0,0
Критик будет французский фильм смотреть.,0,1,0,1
Критик будет фильм смотреть французский.,0,0,0,1
Критик будет фильм французский смотреть.,0,1,0,1
Критик смотреть будет французский фильм.,1,0,0,0
Критик смотреть будет фильм французский.,1,0,0,1
Критик смотреть французский будет фильм.,1,0,0,0
Критик смотреть французский фильм будет.,1,0,0,1
Критик смотреть фильм будет французский.,1,0,0,1
Критик смотреть фильм французский будет.,1,0,0,1
Критик французский будет смотреть фильм.,1,1,0,0
Критик французский будет фильм смотреть.,1,1,0,1
Критик французский смотреть будет фильм.,1,1,0,0
Критик французский смотреть фильм будет.,1,1,0,1
Критик французский фильм будет смотреть.,1,1,0,1
Критик французский фильм смотреть будет.,1,1,0,1
Критик фильм будет смотреть французский.,1,0,0,1
Критик фильм будет французский смотреть.,1,1,0,1
Критик фильм смотреть будет французский.,1,0,0,1
Критик фильм смотреть французский будет.,1,0,0,1
Критик фильм французский будет смотреть.,1,1,0,1
Критик фильм французский смотреть будет.,1,1,0,1
Будет критик смотреть французский фильм.,1,0,0,0
Будет критик смотреть фильм французский.,1,0,0,1
Будет критик французский смотреть фильм.,1,1,0,0
Будет критик французский фильм смотреть.,1,1,0,1
Будет критик фильм смотреть французский.,1,0,0,1
Будет критик фильм французский смотреть.,1,1,0,1
Будет смотреть критик французский фильм.,1,0,1,0
Будет смотреть критик фильм французский.,1,0,1,1
Будет смотреть французский критик фильм.,1,0,1,0
Будет смотреть французский фильм критик.,1,0,1,1
Будет смотреть фильм критик французский.,1,0,1,1
Будет смотреть фильм французский критик.,1,0,1,1
Будет французский критик смотреть фильм.,1,1,0,0
Будет французский критик фильм смотреть.,1,1,0,1
Будет французский смотреть критик фильм.,1,1,1,0
Будет французский смотреть фильм критик.,1,1,1,1
Будет французский фильм критик смотреть.,1,1,0,1
Будет французский фильм смотреть критик.,1,1,1,1
Будет фильм критик смотреть французский.,1,0,0,1
Будет фильм критик французский смотреть.,1,1,0,1
Будет фильм смотреть критик французский.,1,0,1,1
Будет фильм смотреть французский критик.,1,0,1,1
Будет фильм французский критик смотреть.,1,1,0,1
Будет фильм французский смотреть критик.,1,1,1,1
Смотреть критик будет французский фильм.,1,0,1,0
Смотреть критик будет фильм французский.,1,0,1,1
Смотреть критик французский будет фильм.,1,0,1,0
Смотреть критик французский фильм будет.,1,0,1,1
Смотреть критик фильм будет французский.,1,0,1,1
Смотреть критик фильм французский будет.,1,0,1,1
Смотреть будет критик французский фильм.,0,0,1,0
Смотреть будет критик фильм французский.,0,0,1,1
Смотреть будет французский критик фильм.,0,0,1,0
Смотреть будет французский фильм критик.,0,0,1,1
Смотреть будет фильм критик французский.,0,0,1,1
Смотреть будет фильм французский критик.,0,0,1,1
Смотреть французский критик будет фильм.,1,0,1,0
Смотреть французский критик фильм будет.,1,0,1,1
Смотреть французский будет критик фильм.,1,0,1,0
Смотреть французский будет фильм критик.,1,0,1,1
Смотреть французский фильм критик будет.,1,0,1,1
Смотреть французский фильм будет критик.,1,0,1,1
Смотреть фильм критик будет французский.,1,0,1,1
Смотреть фильм критик французский будет.,1,0,1,1
Смотреть фильм будет критик французский.,1,0,1,1
Смотреть фильм будет французский критик.,1,0,1,1
Смотреть фильм французский критик будет.,1,0,1,1
Смотреть фильм французский будет критик.,1,0,1,1
Французский критик будет смотреть фильм.,1,1,0,0
Французский критик будет фильм смотреть.,1,1,0,1
Французский критик смотреть будет фильм.,1,1,0,0
Французский критик смотреть фильм будет.,1,1,0,1
Французский критик фильм будет смотреть.,1,1,0,1
Французский критик фильм смотреть будет.,1,1,0,1
Французский будет критик смотреть фильм.,0,1,0,0
Французский будет критик фильм смотреть.,0,1,0,1
Французский будет смотреть критик фильм.,0,1,1,0
Французский будет смотреть фильм критик.,0,1,1,1
Французский будет фильм критик смотреть.,0,1,0,1
Французский будет фильм смотреть критик.,0,1,1,1
Французский смотреть критик будет фильм.,1,1,1,0
Французский смотреть критик фильм будет.,1,1,1,1
Французский смотреть будет критик фильм.,1,1,1,0
Французский смотреть будет фильм критик.,1,1,1,1
Французский смотреть фильм критик будет.,1,1,1,1
Французский смотреть фильм будет критик.,1,1,1,1
Французский фильм критик будет смотреть.,1,1,0,1
Французский фильм критик смотреть будет.,1,1,0,1
Французский фильм будет критик смотреть.,1,1,0,1
Французский фильм будет смотреть критик.,1,1,1,1
Французский фильм смотреть критик будет.,1,1,1,1
Французский фильм смотреть будет критик.,1,1,1,1
Фильм критик будет смотреть французский.,1,0,0,1
Фильм критик будет французский смотреть.,1,1,0,1
Фильм критик смотреть будет французский.,1,0,0,1
Фильм критик смотреть французский будет.,1,0,0,1
Фильм критик французский будет смотреть.,1,1,0,1
Фильм критик французский смотреть будет.,1,1,0,1
Фильм будет критик смотреть французский.,0,0,0,1
Фильм будет критик французский смотреть.,0,1,0,1
Фильм будет смотреть критик французский.,0,0,1,1
Фильм будет смотреть французский критик.,0,0,1,1
Фильм будет французский критик смотреть.,0,1,0,1
Фильм будет французский смотреть критик.,0,1,1,1
Фильм смотреть критик будет французский.,1,0,1,1
Фильм смотреть критик французский будет.,1,0,1,1
Фильм смотреть будет критик французский.,1,0,1,1
Фильм смотреть будет французский критик.,1,0,1,1
Фильм смотреть французский критик будет.,1,0,1,1
Фильм смотреть французский будет критик.,1,0,1,1
Фильм французский критик будет смотреть.,1,1,0,1
Фильм французский критик смотреть будет.,1,1,0,1
Фильм французский будет критик смотреть.,1,1,0,1
Фильм французский будет смотреть критик.,1,1,1,1
Фильм французский смотреть критик будет.,1,1,1,1
Фильм французский смотреть будет критик.,1,1,1,1
