sentence,NotClitic2,LBE,NotSV,NounScram
Delavci so zgradili lepo cerkev.,0,0,0,0
Delavci so zgradili cerkev lepo.,0,0,0,1
Delavci so lepo zgradili cerkev.,0,1,0,0
Delavci so lepo cerkev zgradili.,0,1,0,1
Delavci so cerkev zgradili lepo.,0,0,0,1
Delavci so cerkev lepo zgradili.,0,1,0,1
Delavci zgradili so lepo cerkev.,1,0,0,0
Delavci zgradili so cerkev lepo.,1,0,0,1
Delavci zgradili lepo so cerkev.,1,0,0,0
Delavci zgradili lepo cerkev so.,1,0,0,1
Delavci zgradili cerkev so lepo.,1,0,0,1
Delavci zgradili cerkev lepo so.,1,0,0,1
Delavci lepo so zgradili cerkev.,1,1,0,0
Delavci lepo so cerkev zgradili.,1,1,0,1
Delavci lepo zgradili so cerkev.,1,1,0,0
Delavci lepo zgradili cerkev so.,1,1,0,1
Delavci lepo cerkev so zgradili.,1,1,0,1
Delavci lepo cerkev zgradili so.,1,1,0,1
Delavci cerkev so zgradili lepo.,1,0,0,1
Delavci cerkev so lepo zgradili.,1,1,0,1
Delavci cerkev zgradili so lepo.,1,0,0,1
Delavci cerkev zgradili lepo so.,1,0,0,1
Delavci cerkev lepo so zgradili.,1,1,0,1
Delavci cerkev lepo zgradili so.,1,1,0,1
So delavci zgradili lepo cerkev.,1,0,0,0
So delavci zgradili cerkev lepo.,1,0,0,1
So delavci lepo zgradili cerkev.,1,1,0,0
So delavci lepo cerkev zgradili.,1,1,0,1
So delavci cerkev zgradili lepo.,1,0,0,1
So delavci cerkev lepo zgradili.,1,1,0,1
So zgradili delavci lepo cerkev.,1,0,1,0
So zgradili delavci cerkev lepo.,1,0,1,1
So zgradili lepo delavci cerkev.,1,0,1,0
So zgradili lepo cerkev delavci.,1,0,1,1
So zgradili cerkev delavci lepo.,1,0,1,1
So zgradili cerkev lepo delavci.,1,0,1,1
So lepo delavci zgradili cerkev.,1,1,0,0
So lepo delavci cerkev zgradili.,1,1,0,1
So lepo zgradili delavci cerkev.,1,1,1,0
So lepo zgradili cerkev delavci.,1,1,1,1
So lepo cerkev delavci zgradili.,1,1,0,1
So lepo cerkev zgradili delavci.,1,1,1,1
So cerkev delavci zgradili lepo.,1,0,0,1
So cerkev delavci lepo zgradili.,1,1,0,1
So cerkev zgradili delavci lepo.,1,0,1,1
So cerkev zgradili lepo delavci.,1,0,1,1
So cerkev lepo delavci zgradili.,1,1,0,1
So cerkev lepo zgradili delavci.,1,1,1,1
Zgradili delavci so lepo cerkev.,1,0,1,0
Zgradili delavci so cerkev lepo.,1,0,1,1
Zgradili delavci lepo so cerkev.,1,0,1,0
Zgradili delavci lepo cerkev so.,1,0,1,1
Zgradili delavci cerkev so lepo.,1,0,1,1
Zgradili delavci cerkev lepo so.,1,0,1,1
Zgradili so delavci lepo cerkev.,0,0,1,0
Zgradili so delavci cerkev lepo.,0,0,1,1
Zgradili so lepo delavci cerkev.,0,0,1,0
Zgradili so lepo cerkev delavci.,0,0,1,1
Zgradili so cerkev delavci lepo.,0,0,1,1
Zgradili so cerkev lepo delavci.,0,0,1,1
Zgradili lepo delavci so cerkev.,1,0,1,0
Zgradili lepo delavci cerkev so.,1,0,1,1
Zgradili lepo so delavci cerkev.,1,0,1,0
Zgradili lepo so cerkev delavci.,1,0,1,1
Zgradili lepo cerkev delavci so.,1,0,1,1
Zgradili lepo cerkev so delavci.,1,0,1,1
Zgradili cerkev delavci so lepo.,1,0,1,1
Zgradili cerkev delavci lepo so.,1,0,1,1
Zgradili cerkev so delavci lepo.,1,0,1,1
Zgradili cerkev so lepo delavci.,1,0,1,1
Zgradili cerkev lepo delavci so.,1,0,1,1
Zgradili cerkev lepo so delavci.,1,0,1,1
Lepo delavci so zgradili cerkev.,1,1,0,0
Lepo delavci so cerkev zgradili.,1,1,0,1
Lepo delavci zgradili so cerkev.,1,1,0,0
Lepo delavci zgradili cerkev so.,1,1,0,1
Lepo delavci cerkev so zgradili.,1,1,0,1
Lepo delavci cerkev zgradili so.,1,1,0,1
Lepo so delavci zgradili cerkev.,0,1,0,0
Lepo so delavci cerkev zgradili.,0,1,0,1
Lepo so zgradili delavci cerkev.,0,1,1,0
Lepo so zgradili cerkev delavci.,0,1,1,1
Lepo so cerkev delavci zgradili.,0,1,0,1
Lepo so cerkev zgradili delavci.,0,1,1,1
Lepo zgradili delavci so cerkev.,1,1,1,0
Lepo zgradili delavci cerkev so.,1,1,1,1
Lepo zgradili so delavci cerkev.,1,1,1,0
Lepo zgradili so cerkev delavci.,1,1,1,1
Lepo zgradili cerkev delavci so.,1,1,1,1
Lepo zgradili cerkev so delavci.,1,1,1,1
Lepo cerkev delavci so zgradili.,1,1,0,1
Lepo cerkev delavci zgradili so.,1,1,0,1
Lepo cerkev so delavci zgradili.,1,1,0,1
Lepo cerkev so zgradili delavci.,1,1,1,1
Lepo cerkev zgradili delavci so.,1,1,1,1
Lepo cerkev zgradili so delavci.,1,1,1,1
Cerkev delavci so zgradili lepo.,1,0,0,1
Cerkev delavci so lepo zgradili.,1,1,0,1
Cerkev delavci zgradili so lepo.,1,0,0,1
Cerkev delavci zgradili lepo so.,1,0,0,1
Cerkev delavci lepo so zgradili.,1,1,0,1
Cerkev delavci lepo zgradili so.,1,1,0,1
Cerkev so delavci zgradili lepo.,0,0,0,1
Cerkev so delavci lepo zgradili.,0,1,0,1
Cerkev so zgradili delavci lepo.,0,0,1,1
Cerkev so zgradili lepo delavci.,0,0,1,1
Cerkev so lepo delavci zgradili.,0,1,0,1
Cerkev so lepo zgradili delavci.,0,1,1,1
Cerkev zgradili delavci so lepo.,1,0,1,1
Cerkev zgradili delavci lepo so.,1,0,1,1
Cerkev zgradili so delavci lepo.,1,0,1,1
Cerkev zgradili so lepo delavci.,1,0,1,1
Cerkev zgradili lepo delavci so.,1,0,1,1
Cerkev zgradili lepo so delavci.,1,0,1,1
Cerkev lepo delavci so zgradili.,1,1,0,1
Cerkev lepo delavci zgradili so.,1,1,0,1
Cerkev lepo so delavci zgradili.,1,1,0,1
Cerkev lepo so zgradili delavci.,1,1,1,1
Cerkev lepo zgradili delavci so.,1,1,1,1
Cerkev lepo zgradili so delavci.,1,1,1,1
